start_time,lib_name,lib_ver,test_duration,cpu_freq,latency_mean,throughput,cpu_cycles,peak_memory,page_faults,buff_flush,sink_flush,buff_size,formatter,formatter_impl,sink,build,dropped,latency_min,latency_max,latency_median,latency_IQR,latency_75th,latency_90th,latency_99th,latency_99.9th
0x17f8274733149ce8,abseil,20240722,30.060197,2.591528,106102.13034,199.958077,9291193208,8753152,11662,-1,0,-1,txt,?,sort,release,0,22240.928716,944059.857678,85869.787828,90620.65209,146611.547654,197758.969516,281323.554038,356949.966077
0x17f8257188b01b64,boost,1.85.0,30.03397,2.591588,78358.556639,199.949477,9331536512,6397952,1670,0,0,64,txt,insertion_operator,sort,release,0,20886.032581,1344688.834237,56815.348973,57603.282733,85381.613458,182103.762268,346213.926559,491862.054291
0x17f826f8c1ef6974,fstlog,0.50.0,30.025676,2.591528,1607.929341,199.956837,8201619492,5259264,1395,0,0,0,txt,own_fill_align_charconv,sort,release,0,817.278306,30295.634743,1258.330763,551.026167,1616.034725,2984.339198,7734.431715,10833.760967
0x17f827339852fc80,fstlog-fast,0.50.0,30.025894,2.591528,1527.240408,199.955953,8174159848,5246976,1391,0,0,0,txt,minimal_charconv,sort,release,0,660.614004,12409.664935,1134.465638,987.062279,1947.113472,2700.336916,4716.135722,10811.380352
0x17f8258526a18020,g3log,0.0.0,30.026515,2.591588,23374.532287,199.957598,8872716640,5775360,1517,-1,0,-1,txt,printf?,sort,release,0,12843.860488,599418.485225,17249.652684,16467.892745,31656.261323,36033.499603,49966.267568,265623.197311
0x17f825b62b87d900,log4cxx,1.2.0,30.045221,2.591588,21579.269461,199.943609,9008517448,8433664,2213,-1,0,-1,txt,fmtlib_{fmt},sort,release,0,8379.417003,314952.017979,11685.111673,17928.001141,28415.005898,34432.936805,122586.595379,142043.388662
0x17f82a626d825f28,noop,0.0.0,30.027966,2.592068,46.029529,199.954251,8149953664,4755456,1236,0,0,0,txt,,lib,release,6000,42.437159,108.02186,46.295083,0.771585,46.295083,46.295083,47.838252,48.609837
0x17f82729c8470918,p7client,5.6,30.029643,2.591528,2384.719572,199.946293,8263629320,6000640,1602,-1,1000,-1,txt,?,sort,release,0,1399.946032,91883.999198,2042.42402,953.105485,2673.325829,3783.867362,5219.313679,6919.468644
0x17f8270c5d313a44,poco,0.0.0,30.028719,2.591528,44532.662713,199.954348,9519942840,6156288,1600,-1,0,-1,txt,?,sort,release,0,28519.848735,374304.203352,42106.811173,14852.23891,50521.536398,58764.548286,82952.590474,96935.072394
0x17f827162b1edd40,quill,7.2.1,30.038149,2.591528,1013.844672,199.929731,9522912958,6623232,1769,1,-1,-1,txt,fmtlib_{fmt},sort,release,0,362.720306,849294.161411,517.069372,166.696992,625.885464,737.788537,1176.911631,4635.102462
0x17f827028f6ddad0,spdlog,1.14.1,30.033083,2.591528,24770.209308,199.942519,8635962972,10825728,2768,-1,0,164,txt,fmtlib_{fmt},sort,release,0,7256.721354,275666.660756,18175.760181,14605.280403,28091.530076,38506.233328,117045.212249,186765.457265
