time,latency,thread,start_core,end_core
55974.7,233416,0,1,1
2.07095e+07,129304,0,1,1
4.07435e+07,100216,0,1,1
6.09596e+07,33336.6,0,1,1
8.06105e+07,68425,0,1,1
1.00574e+08,70406.9,0,1,1
1.21578e+08,57078.7,0,1,1
1.4037e+08,46089.8,0,1,1
1.61015e+08,37240.9,0,1,1
1.80965e+08,37538.8,0,1,1
2.00796e+08,65893.7,0,1,1
2.20228e+08,55745.1,0,1,1
2.40821e+08,48633.5,0,1,1
2.60729e+08,65879,0,1,1
2.80473e+08,58346.7,0,1,1
3.01694e+08,49548.7,0,1,1
3.20281e+08,49568,0,1,1
3.40613e+08,38879.3,0,1,1
3.605e+08,56871.1,0,1,1
3.80778e+08,61823.5,0,1,1
4.01126e+08,42396.2,0,1,1
4.20706e+08,61200.6,0,1,1
4.40549e+08,62961.8,0,1,1
4.60183e+08,61760.9,0,1,1
4.80844e+08,53926.1,0,1,1
5.014e+08,68277.6,0,1,1
5.20415e+08,35844.8,0,1,1
5.40215e+08,66887.7,0,1,1
5.6026e+08,66607.5,0,1,1
5.80712e+08,53934.6,0,1,1
6.00398e+08,56581.7,0,1,1
6.21733e+08,56645.8,0,1,1
6.40257e+08,29872.9,0,1,1
6.60749e+08,53259.3,0,1,1
6.80765e+08,50660.8,0,1,1
7.00847e+08,54636.1,0,1,1
7.20208e+08,51857.8,0,1,1
7.41036e+08,48925.9,0,1,1
7.60378e+08,51576.1,0,1,1
7.80537e+08,52843.4,0,1,1
8.01601e+08,35881,0,1,1
8.20919e+08,63804.5,0,1,1
8.4078e+08,65636.7,0,1,1
8.60337e+08,28260.8,0,1,1
8.81116e+08,70324.3,0,1,1
9.00591e+08,64803.2,0,1,1
9.20323e+08,35448.9,0,1,1
9.41497e+08,52167.3,0,1,1
9.6058e+08,50353.7,0,1,1
9.8053e+08,50870.8,0,1,1
1.00079e+09,59245,0,1,1
1.02086e+09,32909.8,0,1,1
1.04084e+09,32241.5,0,1,1
1.06067e+09,48821,0,1,1
1.08033e+09,50802.1,0,1,1
1.10082e+09,40675.2,0,1,1
1.12095e+09,52642.7,0,1,1
1.14061e+09,51725.9,0,1,1
1.16082e+09,29596.7,0,1,1
1.18038e+09,54812.9,0,1,1
1.20098e+09,61728.5,0,1,1
1.22079e+09,53550.3,0,1,1
1.24095e+09,36133.4,0,1,1
1.26063e+09,58396.9,0,1,1
1.28063e+09,51387.8,0,1,1
1.30043e+09,31067.6,0,1,1
1.32072e+09,62370.6,0,1,1
1.34098e+09,59754.4,0,1,1
1.36102e+09,34112.2,0,1,1
1.38093e+09,40960.7,0,1,1
1.40057e+09,66561.2,0,1,1
1.42089e+09,59744.4,0,1,1
1.44101e+09,32367.2,0,1,1
