start_time,lib_name,lib_ver,test_duration,cpu_freq,latency_mean,throughput,cpu_cycles,peak_memory,page_faults,buff_flush,sink_flush,buff_size,formatter,formatter_impl,sink,build,dropped,latency_min,latency_max,latency_median,latency_IQR,latency_75th,latency_90th,latency_99th,latency_99.9th
0x185c9756576cd590,noop,0.0.0,100.027889,2.592308,76.580415,1.999883,49702784,4128768,1078,0,0,0,txt,,lib,release,200
0x185c976f4350bf04,quill,10.0.1,100.045151,2.592308,13908.977745,1.999644,3363552964,6164480,1609,1,-1,-1,txt,fmtlib_{fmt},sort,release,0
0x185c978830711cf8,abseil,20250512.1,100.028960,2.592308,88202.465579,1.999877,96897404,5177344,1702,-1,0,-1,txt,?,sort,release,0
0x185c97a11c8e7460,boost,1.88.0,100.033202,2.592308,67487.555786,1.999862,101005644,5799936,1520,0,0,64,txt,insertion_operator,sort,release,0
0x185c97ba095b1d08,spdlog,1.15.3,100.032561,2.592308,9782.029377,1.999874,71107648,7946240,2033,-1,0,164,txt,fmtlib_{fmt},sort,release,0
0x185c97d2f607f910,fstlog-fast,0.55.0,100.028182,2.592308,2010.532938,1.999870,59325656,4591616,1254,0,0,0,txt,minimal_charconv,sort,release,0
0x185c97ebe278190c,g3log,2.6,100.031998,2.592308,25433.944510,1.999873,87814606,5140480,1366,-1,0,-1,txt,printf?,sort,release,0
0x185c9804cedf76d8,quill-bounded,10.0.1,100.051181,2.592308,15560.853412,1.999509,3279221972,6008832,1621,1,-1,64,txt,fmtlib_{fmt},sort,release,0
0x185c981dbcc37cb0,poco,1.14.1,100.030640,2.592308,50115.617211,1.999859,113640334,5750784,1506,-1,0,-1,txt,?,sort,release,0
0x185c9836a8c2a1a0,fstlog,0.55.0,100.027595,2.592308,2161.371513,1.999877,59651746,4636672,1222,0,0,0,txt,own_fill_align_charconv,sort,release,0
0x185c984f95055838,p7client,5.6,100.029798,2.592308,4051.382493,1.999827,117139810,5386240,1466,-1,1000,-1,txt,?,sort,release,0
0x185c98688115a9a4,log4cxx,1.5.0,100.041801,2.592308,25101.553412,1.999837,116205634,7852032,2063,-1,0,-1,txt,fmtlib_{fmt},sort,release,0
